15-Jan-2024 14:47:42.892 INFO [http-nio-8080-exec-165] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
15-Jan-2024 14:47:42.893 INFO [http-nio-8080-exec-165] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
15-Jan-2024 14:48:43.031 INFO [http-nio-8080-exec-174] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
15-Jan-2024 14:48:43.032 INFO [http-nio-8080-exec-174] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
15-Jan-2024 15:00:29.968 INFO [http-nio-8080-exec-176] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
15-Jan-2024 15:00:29.968 INFO [http-nio-8080-exec-176] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
15-Jan-2024 16:22:25.158 INFO [http-nio-8080-exec-186] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
15-Jan-2024 16:22:25.159 INFO [http-nio-8080-exec-186] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
15-Jan-2024 17:51:03.711 INFO [http-nio-8080-exec-196] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
15-Jan-2024 17:51:03.712 INFO [http-nio-8080-exec-196] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
15-Jan-2024 17:54:54.357 INFO [http-nio-8080-exec-201] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
15-Jan-2024 17:54:54.357 INFO [http-nio-8080-exec-201] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
15-Jan-2024 17:56:43.885 INFO [http-nio-8080-exec-210] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-P3CAMS'
15-Jan-2024 17:56:43.886 INFO [http-nio-8080-exec-210] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-P3CAMS.war.tmp
